Flow Start,Previous Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Min Packet Length,Max Packet Length,Flow IAT Sum,Fwd IAT Sum,Bwd IAT Sum,Fwd IAT Count,Bwd IAT Count,SYN Flag Count,ACK Flag Count,PSH Flag Count,FIN Flag Count,RST Flag Count,Flow Bytes/s,Flow Packets/s,Down/Up Ratio,Fwd Packets/s,Bwd Packets/s,Flow IAT Mean,Fwd IAT Mean,Bwd IAT Mean
1741857930.262196,1741857930.262196,0.0001,1,0,282,0,282,282,0,0.0,0.0,1,0,0,0,0,0,0,2820000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1741857930.262196,1741857930.2874575,0.025261402130126953,1,1,282,122,122,282,0,0.0,0.025261402130126953,1,1,0,0,0,0,0,15992.77814900806,79.17216905449534,1.0,39.58608452724767,39.58608452724767,0.0,0.0,0.025261402130126953
1741857930.262196,1741857930.288672,0.026475906372070312,1,2,282,580,122,458,0,0.0,0.026475906372070312,1,2,0,0,0,0,0,32557.903321086378,113.31056840285282,2.0,37.770189467617605,75.54037893523521,0.0,0.0,0.013237953 186035156
1741857930.262196,1741857930.307691,0.045495033264160156,2,2,1380,580,122,1098,0,0.019019126892089844,0.026475906372070312,2,2,0,0,0,0,0,43081.62582538518,87.92168535792894,1.0,43.96084267896447,43.96084267896447,0.0,0.009509563446044922,0.013237953186035156
1741857930.262196,1741857930.3295574,0.06736135482788086,2,3,1380,702,122,1098,0,0.019019126892089844,0.048342227935791016,2,3,0,0,0,0,0,30907.929410265668,74.22653556740073,1.5,29.690614226960296,44.535921340440446,0.0,0.009509563446044922,0.016114075978597004
1741857930.262196,1741857930.4989574,0.23676133155822754,2,4,1380,2196,122,1494,0,0.019019126892089844,0.2177422046661377,2,4,0,0,0,0,0,15103.817741118515,25.341976075702206,2.0,8.447325358567403,16.894650717134805,0.0,0.009509563446044922,0.054435551166534424
1741857930.262196,1741857930.499921,0.23772501945495605,2,5,1380,3134,122,1494,0,0.019019126892089844,0.2187058925628662,2,5,0,0,0,0,0,18988.325294281065,29.445785790865628,2.5,8.413081654533036,21.03270413633259,0.0,0.009509563446044922,0.04374117851257324
1741857930.262196,1741857930.5007727,0.23857665061950684,2,6,1380,4628,122,1494,0,0.019019126892089844,0.219557523727417,2,6,0,0,0,0,0,25182.682313626065,33.53220015129969,3.0,8.383050037824923,25.149150113474768,0.0,0.009509563446044922,0.03659292062123617
1741857930.262196,1741857930.5015576,0.23936152458190918,3,6,1518,4628,122,1494,0,0.019804000854492188,0.219557523727417,3,6,0,0,0,0,0,25676.641267785908,37.60002788969625,2.0,12.533342629898751,25.066685259797502,0.0,0.0066013336181640625,0.03659292062123617
1741857930.262196,1741857931.113066,0.85086989402771,3,7,1518,4782,122,1494,0,0.019804000854492188,0.8310658931732178,3,7,0,0,0,0,0,7404.187225591073,11.752678135858845,2.3333333333333335,3.5258034407576537,8.226874695101191,0.0,0.0066013336181640625,0.1187236990247454
1741857930.262196,1741857931.1679478,0.9057517051696777,4,7,1640,4782,122,1494,0,0.07468581199645996,0.8310658931732178,4,7,0,0,0,0,0,7090.243345218923,12.144608657335434,1.75,4.416221329940158,7.728387327395276,0.0,0.01867145299911499,0.1187236990247454
1741857930.262196,1741857932.3988147,2.1366186141967773,5,7,1762,4782,122,1494,0,1.3055527210235596,0.8310658931732178,5,7,0,0,0,0,0,3062.7833889110325,5.616350957660818,1.4,2.340146232358674,3.2762047253021436,0.0,0.2611105442047119,0.1187236990247454
1741857930.262196,1741857932.6493225,2.3871264457702637,5,8,1762,4904,122,1494,0,1.3055527210235596,1.081573724746704,5,8,0,0,0,0,0,2792.478803044325,5.44587825376181,1.6,2.094568559139158,3.3513096946226524,0.0,0.2611105442047119,0.135196715593338
1741857930.262196,1741857932.6502285,2.3880324363708496,6,8,1884,4904,122,1494,0,1.3064587116241455,1.081573724746704,6,8,0,0,0,0,0,2842.507453674242,5.862566934507865,1.3333333333333333,2.5125286862176566,3.3500382482902085,0.0,0.21774311860402426,0.135196715593338
1741857932.956221,1741857932.956221,0.0001,1,0,54,0,54,54,0,0.0,0.0,1,0,0,0,0,0,0,540000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1741857932.956221,1741857933.0576081,0.10138702392578125,2,0,108,0,54,54,0,0.10138702392578125,0.0,2,0,0,0,0,0,0,1065.2250733689518,19.726390247573182,0.0,19.726390247573182,0.0,0.0,0.050693511962890625,0.0
1741857932.956221,1741857933.0599961,0.1037750244140625,3,0,162,0,54,54,0,0.1037750244140625,0.0,3,0,0,0,0,0,0,1561.069254521394,28.90868989854433,0.0,28.90868989854433,0.0,0.0,0.0345916748046875,0.0
1741857932.956221,1741857933.0615122,0.10529112815856934,4,0,216,0,54,54,0,0.10529112815856934,0.0,4,0,0,0,0,0,0,2051.4548925214494,37.98990541706387,0.0,37.98990541706387,0.0,0.0,0.026322782039642334,0.0
1741857930.262196,1741857933.1607337,2.8985376358032227,6,9,1884,5058,122,1494,0,1.3064587116241455,1.5920789241790771,6,9,0,0,0,0,0,2395.0008149803725,5.1750233685833456,1.5,2.0700093474333383,3.1050140211500072,0.0,0.21774311860402426,0.17689765824211967
1741857930.262196,1741857933.2167711,2.9545750617980957,7,9,2006,5058,122,1494,0,1.3624961376190186,1.5920789241790771,7,9,0,0,0,0,0,2390.8683490007493,5.415330348812569,1.2857142857142858,2.369207027605499,3.0461233212070704,0.0,0.1946423053741455,0.17689765824211967
1741857932.956221,1741857933.2609262,0.3047051429748535,5,0,270,0,54,54,0,0.3047051429748535,0.0,5,0,0,0,0,0,0,886.102536255131,16.40930622694687,0.0,16.40930622694687,0.0,0.0,0.060941028594970706,0.0
